season,match_id,match_name,home_team,away_team,venue,city,country,current_innings,innings_id,name,fullName,runs,ballsFaced,minutes,fours,sixes,strikeRate,captain,isNotOut,runningScore,runningOver,shortText,commentary,link
2024.0,1422119,CSK v RCB,CSK,RCB,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,RCB,1,V Kohli,Virat Kohli,21,20,46,0,1,105.00,False,False,"{'wickets': 4, 'runs': 77}",11.2,c Ravindra b Mustafizur Rahman,"tiki-taka catch between Rahane and Ravindra at midwicket. Looks like a slightly slower ball, which is why Kohli has not got all on this pull, and Rahane takes the diving catch at deep midwicket and lobs it to Ravindra before sliding into the boundary cushions",
2024.0,1422119,CSK v RCB,CSK,RCB,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,RCB,1,F du Plessis,Faf du Plessis,35,23,21,8,0,152.17,True,False,"{'wickets': 1, 'runs': 41}",4.3,c Ravindra b Mustafizur Rahman,"The Fizz strikes in his first over this IPL. The cutter from Mustafizur. Bowls at 130ks, on a length, outside off, du Plessis early into it, and ends up miscuing it to deep point",
2024.0,1422119,CSK v RCB,CSK,RCB,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,RCB,1,RM Patidar,Rajat Patidar,0,3,2,0,0,0.00,False,False,"{'wickets': 2, 'runs': 41}",4.6,c &dagger;Dhoni b Mustafizur Rahman,"double strike for the Fizz. He has been done in by pace again. A Test-match dismissal. On a good length, wobble-seam, just going with the angle. No feet from Patidar, slightly late on it, edges it through",
2024.0,1422119,CSK v RCB,CSK,RCB,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,RCB,1,GJ Maxwell,Glenn Maxwell,0,1,2,0,0,0.00,False,False,"{'wickets': 3, 'runs': 42}",5.3,c &dagger;Dhoni b Chahar,"CSK have come roaring back. Maxwell is gone for a golden duck. What a huge wicket. Short of a length, top of off or thereabouts, Maxwell looks to punch at it with an open face. The face is just too open. Edges it to Dhoni. Actually off the face of the bat. This game has turned on its head",
2024.0,1422119,CSK v RCB,CSK,RCB,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,RCB,1,C Green,Cameron Green,18,22,20,1,0,81.81,False,False,"{'wickets': 5, 'runs': 78}",11.4, b Mustafizur Rahman,"four for Fizz. Hits the top of leg. The cutter from Mustafizur. Short of a length, pitches outside leg, Green makes room to look to crash it into the covers. Beaten by the turn",
2024.0,1422119,CSK v RCB,CSK,RCB,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,RCB,1,Anuj Rawat,Anuj Rawat,48,25,50,4,3,192.00,False,False,"{'wickets': 6, 'runs': 173}",19.6,run out (&dagger;Dhoni),"wide yorker again, DK has shuffled across so it won't be called. Rawat tries to steal a bye, and Dhoni catches him short with a direct hit. ""You still got it""",
2024.0,1422119,CSK v RCB,CSK,RCB,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,RCB,1,KD Karthik,Dinesh Karthik,38,26,45,3,2,146.15,False,True,{},,not out,,
2024.0,1422119,CSK v RCB,CSK,RCB,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,CSK,2,RD Gaikwad,Ruturaj Gaikwad,15,15,19,3,0,100.00,True,False,"{'wickets': 1, 'runs': 38}",3.6,c Green b Yash Dayal,<strong>Edged and taken on the second attempt by Green at first slip.</strong> This is excellent bowling and also excellent captaincy from Faf to keep the slip in. Keeps it on a length but well outside off stump. Gaikwad gets forward reaching for the drive. He gets a thick edge and Green takes a fairly simple catch albeit on the second attempt. Important wicket for RCB,
2024.0,1422119,CSK v RCB,CSK,RCB,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,CSK,2,R Ravindra,Rachin Ravindra,37,15,33,3,3,246.66,False,False,"{'wickets': 2, 'runs': 71}",6.6,c Patidar b Sharma,"He's gone now! One shot too many for Rachin. Was a length ball on middle and leg. He sweeps eyeing another six, but doesn't connect as cleanly. Deep backward square leg settles himself and takes a comfortable catch. Lovely debut for Rachin who falls for a 15-ball 37.",
2024.0,1422119,CSK v RCB,CSK,RCB,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,CSK,2,AM Rahane,Ajinkya Rahane,27,19,26,0,2,142.10,False,False,"{'wickets': 3, 'runs': 99}",10.2,c Maxwell b Green,"<strong>Excellent catch by Maxwell at square leg and Rahane's sprightly knock ends.</strong> Back of a length ball but the line was crucial here. It was outside off, which meant Rahane had to fetch it and he could not control his pull. Maxwell is a few steps in from the boundary. But he adjusts well, and takes a reverse-cupped catch over his head",
